Cycle,Location,Z_stack,Channel,Marker,Path,Path_corrected
Cycle1,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle1_Hoeschst.tiff
Cycle1,1,1,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle1_Phalloidin.tiff
Cycle1,1,1,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z001_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle1_WGA.tiff
Cycle1,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle1_Hoeschst.tiff
Cycle1,1,2,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle1_Phalloidin.tiff
Cycle1,1,2,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z002_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle1_WGA.tiff
Cycle1,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle1_Hoeschst.tiff
Cycle1,1,3,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle1_Phalloidin.tiff
Cycle1,1,3,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z003_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle1_WGA.tiff
Cycle1,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle1_Hoeschst.tiff
