Cell_area,Nuclei_area,Cyto_area,Marker,Location,Id
4900,1429,3471,Cyclin E,1,3
20881,2098,18783,Cyclin E,1,4
9486,1610,7876,Cyclin E,1,5
15647,4176,11471,Cyclin E,1,7
34947,4412,30535,Cyclin E,1,8
3951,933,3018,Cyclin E,1,9
15311,2550,12761,Cyclin E,1,10
15928,5275,10653,Cyclin E,1,11
16928,5163,11765,Cyclin E,1,12
11540,4008,7532,Cyclin E,1,13
8223,1992,6231,Cyclin E,1,14
17119,4107,13012,Cyclin E,1,15
17338,2900,14438,Cyclin E,1,16
10434,2783,7651,Cyclin E,1,17
6994,1556,5438,Cyclin E,1,18
11618,3427,8191,Cyclin E,1,19
16863,4251,12612,Cyclin E,1,20
12146,2462,9684,Cyclin E,1,21
16587,3658,12929,Cyclin E,1,22
22079,4658,17421,Cyclin E,1,23
11900,2838,9062,Cyclin E,1,24
22453,4446,18007,Cyclin E,1,25
11830,1962,9868,Cyclin E,1,26
21936,4511,17425,Cyclin E,1,27
15514,4136,11378,Cyclin E,1,28
33106,7118,25988,Cyclin E,1,29
24086,2981,21105,Cyclin E,1,31
21503,2600,18903,Cyclin E,1,32
17413,3795,13618,Cyclin E,1,33
10544,2107,8437,Cyclin E,1,34
26733,4932,21801,Cyclin E,1,35
5614,2941,2673,Cyclin E,1,36
26383,4451,21932,Cyclin E,1,37
12515,2925,9590,Cyclin E,1,38
31174,4573,26601,Cyclin E,1,39
29373,5261,24112,Cyclin E,1,40
14238,4758,9480,Cyclin E,1,41
9634,3263,6371,Cyclin E,1,42
40021,6567,33454,Cyclin E,1,43
24003,4094,19909,Cyclin E,1,44
10691,1859,8832,Cyclin E,1,45
13701,3121,10580,Cyclin E,1,46
9244,2020,7224,Cyclin E,2,2
16590,4859,11731,Cyclin E,2,3
36896,3638,33258,Cyclin E,2,4
17160,3704,13456,Cyclin E,2,5
15249,3492,11757,Cyclin E,2,6
16510,4724,11786,Cyclin E,2,7
13084,3465,9619,Cyclin E,2,8
14489,3946,10543,Cyclin E,2,9
20875,4009,16866,Cyclin E,2,10
50535,4176,46359,Cyclin E,2,11
14992,4957,10035,Cyclin E,2,12
33284,3994,29290,Cyclin E,2,13
21218,3933,17285,Cyclin E,2,14
